Departmental grouping,Organisation,Acronym,Response rate,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),"B57. Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)",B58. I am trusted to carry out my job effectively (% strongly agree or agree),"B59. I believe I would be supported if I tried a new idea, even if it may not work (% strongly agree or agree)","B60. My performance is evaluated based on whether I get things done, rather than solely follow process (% strongly agree or agree)","B61. When I talk about my organisation I say ""we"" rather than ""they"" (% strongly agree or agree)",B62. I have some really good friendships at work (% strongly agree or agree),D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)","W01. Overall, how satisfied are you with your life nowadays? (% rating 7-10)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (% rating 7-10)","W03. Overall, how happy did you feel yesterday? (% rating 7-10)","W04. Overall, how anxious did you feel yesterday? (% rating 0-3)"
Civil Service,Civil Service benchmark (median),CSPS,77%,59%,75%,83%,67%,79%,49%,75%,74%,28%,43%,89%,79%,76%,56%,74%,86%,81%,83%,68%,81%,80%,64%,73%,77%,65%,61%,63%,39%,84%,80%,74%,62%,51%,42%,43%,79%,84%,65%,74%,84%,70%,76%,89%,72%,59%,66%,29%,32%,24%,45%,53%,47%,45%,44%,31%,30%,58%,36%,41%,59%,49%,48%,45%,43%,45%,55%,35%,89%,68%,65%,68%,76%,90%,64%,69%,10%,10%,64%,70%,60%,50%
Attorney General's Departments,Attorney General's Office,AGO,93%,79%,87%,99%,78%,95%,77%,87%,89%,39%,79%,95%,86%,81%,83%,89%,97%,100%,100%,81%,78%,92%,78%,76%,84%,76%,84%,76%,57%,92%,97%,97%,84%,84%,68%,73%,95%,92%,81%,81%,97%,95%,89%,100%,92%,76%,76%,35%,43%,38%,89%,95%,84%,81%,83%,59%,62%,89%,73%,73%,89%,81%,65%,81%,92%,95%,84%,78%,95%,86%,89%,92%,81%,97%,84%,86%,3%,5%,64%,74%,56%,50%
Attorney General's Departments,Crown Prosecution Service,CPS,62%,53%,67%,83%,59%,70%,39%,65%,62%,34%,33%,90%,78%,73%,43%,52%,85%,81%,83%,58%,71%,69%,58%,63%,70%,58%,54%,56%,33%,78%,73%,60%,52%,43%,29%,33%,68%,78%,52%,63%,82%,55%,72%,85%,51%,42%,49%,32%,37%,33%,32%,43%,41%,33%,32%,23%,19%,42%,29%,32%,48%,31%,51%,38%,35%,35%,43%,30%,81%,50%,48%,63%,80%,88%,61%,56%,14%,13%,56%,66%,54%,42%
Attorney General's Departments,HM Crown Prosecution Service Inspectorate,HMCPSI,86%,56%,68%,85%,76%,81%,47%,70%,76%,18%,43%,88%,67%,63%,54%,71%,92%,83%,79%,75%,88%,92%,79%,79%,79%,79%,67%,75%,50%,92%,79%,71%,63%,63%,22%,35%,75%,79%,63%,63%,83%,71%,88%,92%,75%,58%,63%,17%,21%,17%,33%,58%,42%,46%,38%,29%,33%,54%,42%,50%,52%,30%,39%,35%,39%,58%,58%,54%,88%,54%,71%,79%,83%,100%,88%,71%,4%,4%,59%,64%,55%,55%
Attorney General's Departments,Serious Fraud Office,SFO,81%,65%,74%,91%,68%,76%,49%,76%,77%,25%,59%,93%,73%,73%,60%,74%,94%,90%,90%,73%,86%,82%,64%,79%,77%,57%,57%,60%,43%,80%,77%,69%,58%,53%,39%,46%,76%,81%,67%,79%,83%,73%,70%,92%,74%,70%,79%,29%,26%,21%,69%,67%,65%,67%,66%,47%,48%,68%,47%,46%,73%,59%,55%,53%,54%,57%,55%,40%,88%,69%,60%,77%,70%,85%,64%,72%,12%,13%,64%,69%,61%,51%
Attorney General's Departments,TSol,TSOL,79%,60%,79%,79%,71%,80%,62%,80%,75%,21%,48%,92%,84%,80%,58%,78%,83%,77%,77%,74%,87%,85%,63%,81%,81%,68%,67%,69%,39%,85%,81%,72%,74%,68%,54%,53%,83%,89%,71%,78%,87%,74%,78%,92%,68%,62%,66%,22%,23%,18%,55%,65%,53%,43%,50%,39%,30%,66%,40%,39%,60%,58%,41%,43%,41%,60%,67%,47%,92%,69%,67%,63%,74%,93%,67%,79%,7%,7%,68%,73%,64%,46%
"Business, Innovation & Skills","Department for Business, Innovation & Skills",BIS,81%,56%,79%,83%,68%,81%,55%,75%,71%,26%,45%,91%,83%,77%,63%,80%,86%,79%,84%,71%,84%,83%,63%,75%,79%,64%,62%,57%,37%,84%,83%,77%,67%,58%,47%,48%,78%,86%,67%,70%,81%,71%,78%,87%,64%,55%,63%,27%,29%,22%,48%,60%,50%,52%,46%,27%,27%,64%,34%,42%,50%,48%,36%,38%,38%,50%,61%,38%,86%,70%,67%,72%,70%,97%,66%,71%,9%,7%,62%,68%,58%,44%
"Business, Innovation & Skills",Acas,ACAS,61%,67%,71%,91%,68%,78%,49%,76%,76%,25%,50%,89%,80%,78%,45%,63%,92%,89%,90%,68%,82%,76%,70%,72%,78%,69%,60%,63%,38%,86%,81%,68%,60%,54%,39%,44%,78%,86%,66%,74%,87%,77%,73%,93%,79%,57%,67%,26%,26%,24%,57%,54%,49%,51%,47%,43%,37%,64%,42%,52%,77%,58%,62%,53%,51%,43%,56%,37%,89%,64%,62%,79%,80%,77%,57%,70%,10%,11%,68%,75%,64%,50%
"Business, Innovation & Skills",Companies House ,CH,82%,64%,71%,88%,63%,77%,50%,73%,79%,33%,45%,86%,75%,74%,51%,69%,91%,86%,88%,62%,78%,74%,61%,66%,71%,63%,55%,59%,37%,84%,78%,70%,73%,51%,39%,38%,75%,83%,57%,77%,87%,74%,77%,88%,77%,71%,76%,29%,44%,27%,56%,50%,49%,55%,44%,36%,28%,55%,31%,43%,59%,62%,60%,50%,50%,46%,46%,39%,90%,63%,64%,67%,87%,79%,61%,68%,10%,9%,64%,67%,61%,51%
"Business, Innovation & Skills",Competition and Markets Authority,CMA,82%,58%,76%,85%,66%,79%,40%,76%,70%,37%,44%,92%,78%,78%,60%,74%,88%,82%,86%,68%,80%,84%,65%,78%,76%,59%,56%,61%,34%,82%,81%,74%,44%,40%,43%,32%,79%,85%,66%,75%,74%,67%,70%,90%,66%,57%,64%,39%,39%,33%,45%,56%,49%,48%,50%,31%,29%,57%,34%,42%,61%,48%,39%,44%,43%,52%,62%,31%,84%,65%,68%,75%,69%,86%,57%,70%,8%,7%,66%,73%,62%,46%
